Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 3 [28160/49000 (57%)]	Train Loss: 1.443444	Val Loss: 1.538548	Val Acc: 47.20000076293945
Train Epoch: 3 [30720/49000 (62%)]	Train Loss: 1.423298	Val Loss: 1.543040	Val Acc: 45.20000076293945
Train Epoch: 3 [33280/49000 (68%)]	Train Loss: 1.516087	Val Loss: 1.551254	Val Acc: 45.70000076293945
Train Epoch: 3 [35840/49000 (73%)]	Train Loss: 1.454560	Val Loss: 1.527975	Val Acc: 46.400001525878906
Train Epoch: 3 [38400/49000 (78%)]	Train Loss: 1.511594	Val Loss: 1.495281	Val Acc: 48.79999923706055
Train Epoch: 3 [40960/49000 (83%)]	Train Loss: 1.406030	Val Loss: 1.526691	Val Acc: 45.29999923706055
Train Epoch: 3 [43520/49000 (89%)]	Train Loss: 1.417740	Val Loss: 1.521941	Val Acc: 45.900001525878906
Train Epoch: 3 [46080/49000 (94%)]	Train Loss: 1.500455	Val Loss: 1.536139	Val Acc: 47.099998474121094
Train Epoch: 3 [48640/49000 (99%)]	Train Loss: 1.523488	Val Loss: 1.527443	Val Acc: 46.79999923706055
Train Epoch: 4 [0/49000 (0%)]	Train Loss: 1.338016	Val Loss: 1.536506	Val Acc: 47.099998474121094
Train Epoch: 4 [2560/49000 (5%)]	Train Loss: 1.451088	Val Loss: 1.528290	Val Acc: 47.70000076293945
Train Epoch: 4 [5120/49000 (10%)]	Train Loss: 1.501038	Val Loss: 1.516418	Val Acc: 47.599998474121094
Train Epoch: 4 [7680/49000 (16%)]	Train Loss: 1.461600	Val Loss: 1.507336	Val Acc: 46.79999923706055
Train Epoch: 4 [10240/49000 (21%)]	Train Loss: 1.457461	Val Loss: 1.510569	Val Acc: 46.79999923706055
Train Epoch: 4 [12800/49000 (26%)]	Train Loss: 1.500619	Val Loss: 1.499267	Val Acc: 47.70000076293945
Train Epoch: 4 [15360/49000 (31%)]	Train Loss: 1.369898	Val Loss: 1.508284	Val Acc: 47.099998474121094
Train Epoch: 4 [17920/49000 (36%)]	Train Loss: 1.481865	Val Loss: 1.507801	Val Acc: 47.20000076293945
Train Epoch: 4 [20480/49000 (42%)]	Train Loss: 1.414236	Val Loss: 1.505880	Val Acc: 47.900001525878906
Train Epoch: 4 [23040/49000 (47%)]	Train Loss: 1.471619	Val Loss: 1.499997	Val Acc: 47.70000076293945
Train Epoch: 4 [25600/49000 (52%)]	Train Loss: 1.374629	Val Loss: 1.518976	Val Acc: 46.0
Train Epoch: 4 [28160/49000 (57%)]	Train Loss: 1.400424	Val Loss: 1.530625	Val Acc: 47.79999923706055
Train Epoch: 4 [30720/49000 (62%)]	Train Loss: 1.512606	Val Loss: 1.515227	Val Acc: 48.099998474121094
Train Epoch: 4 [33280/49000 (68%)]	Train Loss: 1.466624	Val Loss: 1.492751	Val Acc: 47.20000076293945
Train Epoch: 4 [35840/49000 (73%)]	Train Loss: 1.452777	Val Loss: 1.495319	Val Acc: 47.79999923706055
Train Epoch: 4 [38400/49000 (78%)]	Train Loss: 1.466900	Val Loss: 1.501375	Val Acc: 48.099998474121094
Train Epoch: 4 [40960/49000 (83%)]	Train Loss: 1.417813	Val Loss: 1.500241	Val Acc: 48.20000076293945
Train Epoch: 4 [43520/49000 (89%)]	Train Loss: 1.495495	Val Loss: 1.504417	Val Acc: 47.400001525878906
Train Epoch: 4 [46080/49000 (94%)]	Train Loss: 1.306939	Val Loss: 1.479705	Val Acc: 48.5
Train Epoch: 4 [48640/49000 (99%)]	Train Loss: 1.367700	Val Loss: 1.508788	Val Acc: 49.0
Train Epoch: 5 [0/49000 (0%)]	Train Loss: 1.326884	Val Loss: 1.500852	Val Acc: 49.20000076293945
Train Epoch: 5 [2560/49000 (5%)]	Train Loss: 1.512510	Val Loss: 1.500287	Val Acc: 46.79999923706055
